image_id,x,y,class_id,confidence
S1,2047.00,604.00,1,0.2691
S1,2047.00,1793.00,1,0.2691
S1,2047.00,1216.00,1,0.2691
S1,2047.00,1642.00,1,0.2691
S1,2047.00,1767.00,1,0.2690
S1,2047.00,1860.00,1,0.2689
S1,2047.00,908.00,1,0.2689
S1,2047.00,1022.00,1,0.2688
S1,2047.00,1306.00,1,0.2688
S1,2047.00,1424.00,1,0.2688
S1,2047.00,1494.00,1,0.2688
S1,2047.00,532.00,1,0.2688
S1,2047.00,1236.00,1,0.2687
S1,2047.00,1394.00,1,0.2687
S1,2047.00,1609.00,1,0.2687
S1,2047.00,570.00,1,0.2686
S1,2047.00,742.00,1,0.2686
S1,2047.00,562.00,1,0.2686
S1,2047.00,1406.00,1,0.2686
S1,2047.00,720.00,1,0.2685
S1,2047.00,914.00,1,0.2684
S1,2047.00,1372.00,1,0.2684
S1,2047.00,978.00,1,0.2684
S1,2047.00,1648.00,1,0.2684
S1,2047.00,1434.00,1,0.2684
S1,2047.00,540.00,1,0.2684
S1,2047.00,1893.00,1,0.2684
S1,2047.00,614.00,1,0.2683
S1,2047.00,1779.00,1,0.2683
S1,2047.00,1016.00,1,0.2683
S1,2047.00,688.00,1,0.2683
S1,2047.00,1328.00,1,0.2683
S1,2047.00,1454.00,1,0.2683
S1,2047.00,578.00,1,0.2682
S1,2047.00,1630.00,1,0.2682
S1,2047.00,548.00,1,0.2682
S1,2047.00,590.00,1,0.2682
S1,2047.00,666.00,1,0.2681
S1,2047.00,1088.00,1,0.2680
S1,2047.00,1812.00,1,0.2679
S1,2047.00,2021.00,1,0.2678
S1,2047.00,518.00,1,0.2678
S1,2047.00,1732.00,1,0.2678
S1,2047.00,1744.00,1,0.2678
S1,2047.00,1462.00,1,0.2677
S1,2047.00,1544.00,1,0.2677
S1,2047.00,1881.00,1,0.2677
S1,2047.00,1568.00,1,0.2676
S1,2047.00,1504.00,1,0.2676
S1,2047.00,1908.00,1,0.2676
S1,2047.00,1578.00,1,0.2676
S1,2047.00,1468.00,1,0.2676
S1,2047.00,1530.00,1,0.2675
S1,2047.00,1834.00,1,0.2675
S1,2047.00,1442.00,1,0.2675
S1,2047.00,714.00,1,0.2675
S1,2047.00,584.00,1,0.2675
S1,2047.00,1584.00,1,0.2675
S1,2047.00,1828.00,1,0.2674
S1,2047.00,1999.00,1,0.2673
S1,2047.00,1596.00,1,0.2672
S1,2047.00,1060.00,1,0.2672
S1,2047.00,1114.00,1,0.2671
S1,2047.00,1482.00,1,0.2671
S1,2047.00,682.00,1,0.2671
S1,2047.00,736.00,1,0.2671
S1,2047.00,1773.00,1,0.2670
S1,2047.00,596.00,1,0.2670
S1,2047.00,1524.00,1,0.2670
S1,2047.00,1550.00,1,0.2669
S1,2047.00,1916.00,1,0.2669
S1,2047.00,1448.00,1,0.2669
S1,2047.00,964.00,1,0.2669
S1,2047.00,1360.00,1,0.2668
S1,2047.00,1510.00,1,0.2667
S1,384.00,0.00,1,0.2667
S1,2047.00,1488.00,1,0.2666
S1,2047.00,934.00,1,0.2666
S1,2047.00,2035.00,1,0.2666
S1,2047.00,642.00,1,0.2666
S1,2047.00,650.00,1,0.2665
S1,2047.00,786.00,1,0.2664
S1,2047.00,1230.00,1,0.2664
S1,2047.00,1004.00,1,0.2661
S1,2047.00,1820.00,1,0.2660
S1,2047.00,636.00,1,0.2659
S1,2047.00,2015.00,1,0.2658
